Comic #	Sketch due	Rough draft due	Final artwork due	MathNEWS production night	Publishing date	Spare
31	15/10/2021	5/11/2021	19/11/2021	17/1/2022	21/1/2022	Spare
32	29/10/2021	12/11/2021	28/1/2022	31/1/2022	4/2/2022	Spare
33	11/1/2022	21/1/2022	11/2/2022	14/2/2022	18/2/2022	
34	25/1/2022	11/2/2022	25/2/2022	28/2/2022	4/3/2022	
35	8/2/2022	25/2/2022	11/3/2022	14/3/2022	18/3/2022	
36	22/2/2022	11/3/2022	25/3/2022	28/3/2022	1/4/2022	
37	8/2/2022	25/2/2022	11/3/2022	-	S2022	true
38	22/2/2022	11/3/2022	25/3/2022	-	S2022	true
